;mass A;;
t;x;y;
3,333333E−2;1,821802E−4;3,162014E−1
6,666667E−2;3,219556E−3;3,159582E−1
1,000000E−1;7,962401E−3;3,149821E−1
1,333333E−1;1,410842E−2;3,136109E−1
1,666667E−1;2,120346E−2;3,117084E−1
2,000000E−1;3,044413E−2;3,090789E−1
2,333333E−1;4,162486E−2;3,067034E−1
2,666667E−1;5,221862E−2;3,039703E−1
3,000000E−1;6,614928E−2;3,021577E−1
3,333333E−1;7,892072E−2;2,993754E−1
3,666667E−1;9,590276E−2;2,952410E−1
4,000000E−1;1,137984E−1;2,906650E−1
4,333333E−1;1,333413E−1;2,849168E−1
4,666667E−1;1,521311E−1;2,748710E−1
5,000000E−1;1,761387E−1;2,672406E−1
5,333333E−1;2,040821E−1;2,561576E−1
5,666667E−1;2,337687E−1;2,478752E−1
6,000000E−1;2,624960E−1;2,342596E−1
6,333333E−1;2,947632E−1;2,177926E−1
6,666667E−1;3,297488E−1;1,991455E−1
7,000000E−1;3,677169E−1;1,794412E−1
7,333333E−1;4,104265E−1;1,641491E−1
7,666667E−1;4,581733E−1;1,526240E−1
8,000000E−1;5,063895E−1;1,453773E−1
8,333333E−1;5,552816E−1;1,448612E−1
8,666667E−1;6,031947E−1;1,483956E−1
9,000000E−1;6,487396E−1;1,579560E−1
9,333333E−1;6,920468E−1;1,696295E−1
9,666667E−1;7,337710E−1;1,783047E−1
1,000000E0;7,743526E−1;1,775069E−1
1,033333E0;8,145590E−1;1,855340E−1
1,066667E0;8,538109E−1;1,845505E−1
1,100000E0;8,941758E−1;1,817505E−1
1,133333E0;9,345817E−1;1,772274E−1
1,166667E0;9,746704E−1;1,660975E−1
1,200000E0;1,019921E0;1,563307E−1
1,233333E0;1,063620E0;1,439135E−1
1,266667E0;1,110023E0;1,309339E−1
1,300000E0;1,157151E0;1,181712E−1
1,333333E0;1,207681E0;1,171209E−1
1,366667E0;1,257605E0;1,217084E−1
1,400000E0;1,304964E0;1,299829E−1
1,433333E0;1,348688E0;1,379036E−1
