t;x;y;
0,000000E0;−3,858192E−3;3,179330E−1
3,333333E−2;−3,462013E−3;3,158256E−1
6,666667E−2;−3,318620E−4;3,130374E−1
1,000000E−1;2,738840E−3;3,124845E−1
1,333333E−1;7,835121E−3;3,120980E−1
1,666667E−1;1,179649E−2;3,107859E−1
2,000000E−1;1,921237E−2;3,098425E−1
2,333333E−1;2,699171E−2;3,081857E−1
2,666667E−1;3,465429E−2;3,080426E−1
3,000000E−1;4,568531E−2;3,050485E−1
3,333333E−1;5,878719E−2;3,007723E−1
3,666667E−1;7,241067E−2;2,982785E−1
4,000000E−1;8,922523E−2;2,934382E−1
4,333333E−1;1,065833E−1;2,895862E−1
4,666667E−1;1,262093E−1;2,840531E−1
5,000000E−1;1,470680E−1;2,783149E−1
5,333333E−1;1,660539E−1;2,701114E−1
5,666667E−1;1,918730E−1;2,646046E−1
6,000000E−1;2,184968E−1;2,534429E−1
6,333333E−1;2,471708E−1;2,348999E−1
6,666667E−1;2,792067E−1;2,196096E−1
7,000000E−1;3,137512E−1;2,027510E−1
7,333333E−1;3,524070E−1;1,885918E−1
7,666667E−1;3,962847E−1;1,727136E−1
8,000000E−1;4,401558E−1;1,587908E−1
8,333333E−1;4,860412E−1;1,459871E−1
8,666667E−1;5,348142E−1;1,431598E−1
9,000000E−1;5,831406E−1;1,447450E−1
9,333333E−1;6,306099E−1;1,522902E−1
9,666667E−1;6,743243E−1;1,608905E−1
1,000000E0;7,180412E−1;1,717405E−1
1,033333E0;7,598391E−1;1,811618E−1
1,066667E0;7,997460E−1;1,837951E−1
1,100000E0;8,392374E−1;1,880699E−1
1,133333E0;8,787690E−1;1,838470E−1
1,166667E0;9,176777E−1;1,791904E−1
1,200000E0;9,583202E−1;1,720156E−1
1,233333E0;1,000525E0;1,610667E−1
1,266667E0;1,045001E0;1,499901E−1
1,300000E0;1,090183E0;1,361878E−1
1,333333E0;1,136423E0;1,237697E−1
1,366667E0;1,184291E0;1,168564E−1
1,400000E0;1,233632E0;1,176969E−1
1,433333E0;1,282151E0;1,246822E−1
1,466667E0;1,327426E0;1,350552E−1
1,500000E0;1,370257E0;1,468147E−1
